test.id,http.path,test.level,test.objective,test.source_nhan_csv,bankCif_csv,accountNoFrom_csv,amount_csv,whoCharge_csv,chargeAmount_csv,isAccount_csv,bankCodeId_csv,bankCode_csv,accountNoTo_csv,aliasName_csv,is247_csv,isNow_csv,isSaveToTemplate_csv,description_csv,transactionCategoryId_csv,otp_csv,scheduleType_csv,fromDate_csv,toDate_csv,days_csv,bankId_csv,beneficiaryName_csv,idCard_csv,response.code_csv,response.message_csv,response.http_code_csv,active_or_not,groupcase
1,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Không lặp,tk_chungCIF,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,day,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
2,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Hàng ngày,tk_chungCIF,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,daily,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
3,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Hàng tuần,tk_chungCIF,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,weekly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
4,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Hàng tháng,tk_chungCIF,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,monthly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
5,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Không lặp,tk_khacCIF,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,day,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
6,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Hàng ngày,tk_khacCIF,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,daily,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
7,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Hàng tuần,tk_khacCIF,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,weekly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
8,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Hàng tháng,tk_khacCIF,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,monthly,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
9,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Thẻ - Không lặp,soThe,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,day,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
10,transaction/v1/transfer,regesstion,Lên lịch - Nội bộ KLB - Qua Thẻ - Hàng ngày,soThe,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,daily,getapi,getapi,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
