test.id,http.path,test.level,test.objective,test.source_nhan_csv,bankCif_csv,accountNoFrom_csv,amount_csv,whoCharge_csv,chargeAmount_csv,isAccount_csv,bankCodeId_csv,bankCode_csv,accountNoTo_csv,aliasName_csv,is247_csv,isNow_csv,isSaveToTemplate_csv,description_csv,transactionCategoryId_csv,otp_csv,bankId_csv,beneficiaryName_csv,idCard_csv,response.code_csv,response.message_csv,response.http_code_csv,active_or_not,groupcase
1,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Chuyển tiền,tk_chungCIF,getapi,1000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,1,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
2,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Siêu thị,tk_chungCIF,getapi,2000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,2,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
3,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Hóa đơn sinh hoạt,tk_chungCIF,getapi,3000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,3,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
4,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Giáo dục,tk_chungCIF,getapi,4000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
5,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Sức khỏe,tk_chungCIF,getapi,5000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,5,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
6,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Trả góp,tk_chungCIF,getapi,6000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,6,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
7,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Đầu tư,tk_chungCIF,getapi,7000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,7,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
8,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Kinh doanh,tk_chungCIF,getapi,8000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,8,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
9,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Cho con,tk_chungCIF,getapi,9000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,9,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
10,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Quần áo,tk_chungCIF,getapi,10000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,10,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
11,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Du lịch,tk_chungCIF,getapi,11000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,11,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
12,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Thể thao,tk_chungCIF,getapi,12000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,12,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
13,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Hiếu hỷ,tk_chungCIF,getapi,13000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,13,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
14,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Quà tặng quyên góp,tk_chungCIF,getapi,14000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,14,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
15,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Cùng CIF - Khoản chi khác,tk_chungCIF,getapi,15000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,15,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
16,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Chuyển tiền,tk_khacCIF,getapi,1000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,1,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
17,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Siêu thị,tk_khacCIF,getapi,2000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,2,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
18,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Hóa đơn sinh hoạt,tk_khacCIF,getapi,3000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,3,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
19,transaction/v1/transfer,regesstion,Chuyển khoản - Nội bộ KLB - Qua Tài Khoản - Khác CIF - Giáo dục,tk_khacCIF,getapi,4000,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,getapi,4,getapi,getapi,getapi,getapi,400,Mã ngân hàng không được trống,200,active,regesstion_NoiBo
